Mode,Batch_Size,Latency_ms
Merged (1 LoRA),1,46.134466998046264
Merged (1 LoRA),5,48.55576715199277
Merged (1 LoRA),10,50.641785451443866
Merged (1 LoRA),15,52.28150790208019
Unmerged (1 LoRA),1,74.8485496500507
Unmerged (1 LoRA),5,88.82364520104602
Unmerged (1 LoRA),10,91.41106195165776
Unmerged (1 LoRA),14,92.71941959741525
Unmerged (2 LoRAs),1,74.43883729865775
Unmerged (2 LoRAs),5,115.80564039759338
Unmerged (2 LoRAs),10,117.59705424774438
Unmerged (2 LoRAs),13,119.61988755501807
Unmerged (4 LoRAs),1,74.89571860060096
Unmerged (4 LoRAs),5,138.03383440244943
Unmerged (4 LoRAs),10,170.0116984487977
Unmerged (4 LoRAs),11,170.5209241481498
Unmerged (8 LoRAs),1,74.1834660526365
Unmerged (8 LoRAs),5,141.6982797498349
Unmerged (8 LoRAs),7,173.87193230097182
