cluster,lora_id,arrive_timestamp
cluster_1,1,0.0014909
cluster_2,30,0.003860041
cluster_3,3,0.005477905
cluster_2,5,0.016541065
cluster_3,1,0.016823959
cluster_3,94,0.021991083
cluster_2,1,0.022979113
cluster_3,95,0.023016071
cluster_1,74,0.023188108
cluster_1,38,0.023286991
cluster_1,25,0.023377897
cluster_3,11,0.023631021
cluster_1,42,0.023633066
cluster_2,26,0.023769955
cluster_2,41,0.056239952
cluster_1,55,0.06350396
cluster_2,88,0.074941019
cluster_3,58,0.162403929
cluster_1,6,0.171832111
