rps,strategy,p95_ttft
1,ours,
2,ours,
3,ours,
4,ours,
5,ours,
8,ours,
6,ours,
11,ours,
7,ours,
13,ours,
9,ours,
10,ours,
16,ours,
12,ours,
14,ours,
15,ours,
19,ours,
20,ours,
21,ours,
17,ours,
18,ours,
22,ours,
1,dlora,
25,ours,
2,dlora,
4,dlora,
3,dlora,
23,ours,
6,dlora,
8,dlora,
7,dlora,
24,ours,
10,dlora,
11,dlora,
12,dlora,
5,dlora,
13,dlora,
14,dlora,
16,dlora,
15,dlora,
17,dlora,
19,dlora,
18,dlora,
9,dlora,
22,dlora,
21,dlora,
23,dlora,
24,dlora,
1,lru,
25,dlora,
2,lru,
3,lru,
4,lru,
20,dlora,
6,lru,
8,lru,
10,lru,
5,lru,
7,lru,
12,lru,
13,lru,
9,lru,
15,lru,
16,lru,
11,lru,
18,lru,
17,lru,
19,lru,
21,lru,
22,lru,
23,lru,
24,lru,
20,lru,
25,lru,
14,lru,
