Global_RPS,Strategy,Average_Cost
1,Ours (SP1+SP2),0.004386450798527239
1,Ours w/o Sem,0.003850013311744637
1,Ours w/o SP2,0.005637828444506304
1,dLoRA,0.02121642606516291
1,S-LoRA,0.021323457617278215
2,Ours (SP1+SP2),0.00301920940593773
2,Ours w/o Sem,0.002583495930753043
2,Ours w/o SP2,0.0050151990084698036
2,dLoRA,0.01821843779744825
2,S-LoRA,0.017258900831309387
3,Ours (SP1+SP2),0.002722806959030762
3,Ours w/o Sem,0.002453091749220859
3,Ours w/o SP2,0.004316094727836513
3,dLoRA,0.016534194259992214
3,S-LoRA,0.0161817777270635
4,Ours (SP1+SP2),0.0022730896738972785
4,Ours w/o Sem,0.002222050219733074
4,Ours w/o SP2,0.003924050939393149
4,dLoRA,0.0165658152235624
4,S-LoRA,0.01418943244965403
5,Ours (SP1+SP2),0.002135209696024435
5,Ours w/o Sem,0.0020861987543412826
5,Ours w/o SP2,0.0034733957449576496
5,dLoRA,0.01556916303229693
5,S-LoRA,0.013655409781411661
6,Ours (SP1+SP2),0.0018497636021282144
6,Ours w/o Sem,0.002033150729297821
6,Ours w/o SP2,0.0031177573481782554
6,dLoRA,0.01589698984760815
6,S-LoRA,0.012464669608870214
7,Ours (SP1+SP2),0.0018337320294851385
7,Ours w/o Sem,0.001974712132744963
7,Ours w/o SP2,0.0027353442409308966
7,dLoRA,0.014774012853105008
7,S-LoRA,0.012233878018455048
8,Ours (SP1+SP2),0.001616329472036307
8,Ours w/o Sem,0.001913560837934583
8,Ours w/o SP2,0.0026963642728241254
8,dLoRA,0.015306845635991747
8,S-LoRA,0.013305530410062901
9,Ours (SP1+SP2),0.0016078546744406543
9,Ours w/o Sem,0.0018866532344089793
9,Ours w/o SP2,0.003207892161461421
9,dLoRA,0.016206440487422497
9,S-LoRA,0.015176336047857326
10,Ours (SP1+SP2),0.0015618078866851321
10,Ours w/o Sem,0.0018978085981091585
10,Ours w/o SP2,0.004512329210860205
10,dLoRA,0.01791603034326162
10,S-LoRA,0.017855543086137553
11,Ours (SP1+SP2),0.0015383225176867261
11,Ours w/o Sem,0.0018393715482990212
11,Ours w/o SP2,0.006580386472466502
11,dLoRA,0.020858919138297325
11,S-LoRA,0.02121835078568773
12,Ours (SP1+SP2),0.0014285539448664606
12,Ours w/o Sem,0.00182513611074558
12,Ours w/o SP2,0.009065846719358034
12,dLoRA,0.0242580038353429
12,S-LoRA,0.023577296836090215
13,Ours (SP1+SP2),0.001443195995084942
13,Ours w/o Sem,0.001797708300712117
13,Ours w/o SP2,0.011720860143956848
13,dLoRA,0.027071399031893303
13,S-LoRA,0.025610955516088683
14,Ours (SP1+SP2),0.001385151957405634
14,Ours w/o Sem,0.0018775733552735309
14,Ours w/o SP2,0.014270575164130666
14,dLoRA,0.030076008367958804
14,S-LoRA,0.0281458464814974
15,Ours (SP1+SP2),0.00134782834763073
15,Ours w/o Sem,0.0038479703132567465
15,Ours w/o SP2,0.016762438829102895
15,dLoRA,0.03226517121249537
15,S-LoRA,0.030043228567987044
16,Ours (SP1+SP2),0.0012496457105216718
16,Ours w/o Sem,0.004726754714080048
16,Ours w/o SP2,0.018981851388545575
16,dLoRA,0.03471173713010963
16,S-LoRA,0.03211051379667907
17,Ours (SP1+SP2),0.001740530863691958
17,Ours w/o Sem,0.0070716034095627284
17,Ours w/o SP2,0.021045899522911894
17,dLoRA,0.03724525840256418
17,S-LoRA,0.03403512547130489
18,Ours (SP1+SP2),0.00446305934366889
18,Ours w/o Sem,0.010136008495676372
18,Ours w/o SP2,0.02290106181818651
18,dLoRA,0.03913766141696318
18,S-LoRA,0.03537549706858684
19,Ours (SP1+SP2),0.00687757569707237
19,Ours w/o Sem,0.012981550718349272
19,Ours w/o SP2,0.024667658108384425
19,dLoRA,0.04010590298284816
19,S-LoRA,0.03682656201728759
